date and time,MALS
2019-08-01 00:00:00,          0.159
2019-08-01 01:00:00,          0.159
2019-08-01 02:00:00,       0.159002
2019-08-01 03:00:00,       0.159006
2019-08-01 04:00:00,       0.159011
2019-08-01 05:00:00,       0.159017
2019-08-01 06:00:00,       0.159023
2019-08-01 07:00:00,       0.159031
2019-08-01 08:00:00,       0.159039
2019-08-01 09:00:00,       0.159048
2019-08-01 10:00:00,       0.159059
2019-08-01 11:00:00,       0.159072
2019-08-01 12:00:00,       0.159086
2019-08-01 13:00:00,       0.159102
2019-08-01 14:00:00,       0.159118
2019-08-01 15:00:00,       0.159136
2019-08-01 16:00:00,       0.159152
2019-08-01 17:00:00,       0.159168
2019-08-01 18:00:00,       0.159184
2019-08-01 19:00:00,       0.159198
2019-08-01 20:00:00,       0.159213
2019-08-01 21:00:00,       0.159229
2019-08-01 22:00:00,       0.159246
2019-08-01 23:00:00,       0.159265
2019-08-02 00:00:00,       0.159286
2019-08-02 01:00:00,       0.159309
2019-08-02 02:00:00,       0.159332
2019-08-02 03:00:00,       0.159354
2019-08-02 04:00:00,       0.159375
2019-08-02 05:00:00,       0.159394
2019-08-02 06:00:00,       0.159411
2019-08-02 07:00:00,       0.159427
2019-08-02 08:00:00,       0.159442
2019-08-02 09:00:00,       0.159457
2019-08-02 10:00:00,       0.159473
2019-08-02 11:00:00,       0.159491
2019-08-02 12:00:00,       0.159511
2019-08-02 13:00:00,       0.159533
2019-08-02 14:00:00,       0.159554
2019-08-02 15:00:00,       0.159576
2019-08-02 16:00:00,       0.159597
2019-08-02 17:00:00,       0.159616
2019-08-02 18:00:00,       0.159633
2019-08-02 19:00:00,       0.159648
2019-08-02 20:00:00,       0.159662
2019-08-02 21:00:00,       0.159676
2019-08-02 22:00:00,       0.159692
2019-08-02 23:00:00,       0.159708
2019-08-03 00:00:00,       0.159726
2019-08-03 01:00:00,       0.159746
2019-08-03 02:00:00,       0.159767
2019-08-03 03:00:00,       0.159787
2019-08-03 04:00:00,       0.159807
2019-08-03 05:00:00,       0.159826
2019-08-03 06:00:00,       0.159843
2019-08-03 07:00:00,       0.159858
2019-08-03 08:00:00,       0.159872
2019-08-03 09:00:00,       0.159886
2019-08-03 10:00:00,       0.159899
2019-08-03 11:00:00,       0.159914
2019-08-03 12:00:00,       0.159931
2019-08-03 13:00:00,       0.159949
2019-08-03 14:00:00,       0.159969
2019-08-03 15:00:00,       0.159988
2019-08-03 16:00:00,       0.160008
2019-08-03 17:00:00,       0.160026
2019-08-03 18:00:00,       0.160043
2019-08-03 19:00:00,       0.160058
2019-08-03 20:00:00,       0.160072
2019-08-03 21:00:00,       0.160084
2019-08-03 22:00:00,       0.160097
2019-08-03 23:00:00,       0.160111
2019-08-04 00:00:00,       0.160126
2019-08-04 01:00:00,       0.160143
2019-08-04 02:00:00,       0.160161
2019-08-04 03:00:00,        0.16018
2019-08-04 04:00:00,       0.160198
2019-08-04 05:00:00,       0.160216
2019-08-04 06:00:00,       0.160233
2019-08-04 07:00:00,       0.160248
2019-08-04 08:00:00,       0.160261
