process,process description,parameter,value,unit,description,
DEBGRZ_G3,Dynamics of DEB Grazer3 (def: passive isomorphs),DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,Volume,Using DELWAQ volume,(m3),volume of computational cell
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,TotalDepth,Using output from proces [TotDepth            ],(m),total depth water column
 , ,TIM,Using output from proces [Compos              ],(gDM/m3),total inorganic matter
 , ,SWDetTyp,1.00000,(-),option for POX (value must not be changed)
 , ,G3_SwV1,0.00000,(-),use 0 [ISO-morphs] or 1 [V1-morphs]
 , ,G3_SwBEN,1.00000,(-),Use 0 [pelagic] or 1 [benthic] for DEB Grazer3
 , ,Grazer3_V,Using substance nr  39,(gC/m3-or-gC/m2),conc struct biomass of DEB Grazer3
 , ,Grazer3_E,Using substance nr  40,(gC/m3-or-gC/m2),conc energy reserve of DEB Grazer3
 , ,Grazer3_R,Using substance nr  41,(gC/m3-or-gC/m2),conc gonadal mass of DEB Grazer3
 , ,Grazer3_N,Using substance nr  42,(#/m3-or-#/m2),number of individuals DEB Grazer3
 , ,G3_Lref,Using parameter nr  2,(cm),ref length of DEB Grazer3 (only for V1morphs)
 , ,G3_Dummy,1.00000,(-),dummy constant for DEB Grazer3
 , ,G3_Vb,Using parameter nr  4,(cm3),volume at birth of individual DEB Grazer3
 , ,G3_Vp,Using parameter nr  6,(cm3),volume at start of repr stage ind DEB Grazer3
 , ,G3_shape,Using parameter nr  8,(-),shape coefficient of DEB Grazer3
 , ,G3_Em,Using parameter nr 10,(J/cm3),maximum storage density of DEB Grazer3
 , ,G3_Eg,Using parameter nr 12,(J/cm3),volume-spec costs for growth of DEB Grazer3
 , ,G3_Pm,Using segment function nr  2,(J/d),respiration rate constant of DEB Grazer3
 , ,G3_JXm,Using segment function nr  1,(J/cm2/d),max ingestion rate of DEB Grazer3
 , ,G3_kappaI,0.750000,(-),ingestion efficiency of DEB Grazer3
 , ,G3_kappaA,1.00000,(-),assimilation efficiency of DEB Grazer3
